WMT,AMZN,AAPL,CVS,UNH,XOM,BRK.B,GOOGL,MCK,ABC
151.04,168.35,178.44,100,510.02,83.16,345.43,142.97,305.76,154.75
151.47,164.06,175.06,99.46,517.76,82.73,344.8,140.59,307,155.76
154.99,158.76,171.83,102.06,531.75,83.65,344.71,136.55,311.57,158.14
156.54,157.78,172.14,103.61,536.95,85.05,346.51,135.89,320.14,162.92
157.41,154.46,170.09,106.61,545.96,86.84,353.1,133.29,325.84,165.44
154.29,151.12,165.75,104.45,537.44,83.85,352.02,128.82,320.67,162.65
153.23,150.79,167.66,104.64,533.71,85.6,349.74,127.71,322.58,162.62
157.22,155.54,170.4,104.98,537,86.81,346.22,129.89,325.62,162.96
157.08,151.71,165.29,103.68,534.82,87.83,344.33,126.73,323.25,161.21
155.88,152.79,165.07,103.42,534.08,88.55,346.65,127.68,326.65,161.9
157.65,158.12,167.4,103.86,537.7,87.76,348.5,130.01,324.7,162.85
159.63,154,167.23,106.64,546.01,87.96,348.82,128.04,331.54,165.73
159.87,148.3,166.42,105.18,537.44,87.03,343.6,124.81,331.45,165.02
156.86,144.35,161.79,101.68,520.94,85.13,335.56,119.64,318.18,159
156.94,146.07,162.88,101.77,524.27,82.26,336.95,123.07,317.31,158.47
155.3,139.39,156.8,101.43,513.78,82.29,330.65,118.65,316.26,157.25
154.24,138.17,156.57,100.85,513.81,84.64,329.58,114.29,317.85,157.46
156.21,144.6,163.64,100.85,524.42,87.2,331.27,118.52,320.6,157.75
152.99,124.28,157.65,96.13,508.55,85.25,322.83,114.11,309.61,151.29
151.98,124.5,157.96,96.5,501.15,86.41,318.19,116.58,306.8,148.97
152.51,124.25,159.48,95.98,499.62,88.19,318.99,117.33,307.81,150.76
154.62,125.93,166.02,100.57,507.62,91.7,326.8,122.26,319.76,156.79
152.74,116.41,156.77,97.73,494.72,90.31,318.68,116.51,315.23,155.19
149.56,114.77,157.28,100.69,499.62,91.69,318.88,115.75,333.99,159.01
151.31,108.79,152.06,98.86,486.42,84.46,312.96,112.51,326.47,157.32
149.18,108.86,154.51,98.16,488.01,85.02,312.53,114.4,329.83,159.65
147.62,105.37,146.5,97.99,486.15,86.79,311.54,113.6,332.09,161.3
147.48,106.93,142.56,98.25,478.8,86.3,308.06,112.84,322.01,151.61
148.05,113.06,147.11,97.48,485.4,88.86,310.36,116.05,324.24,152.89
148.21,110.81,145.54,98.55,489.22,90.95,309.29,114.45,327.83,154.55
131.35,115.37,149.24,99.38,492.53,92.11,314.6,116.47,333.16,156.93
122.43,107.11,140.82,94.02,471.38,90.65,306.64,111.9,320.65,151.11
119.07,107.32,137.35,93.14,478.55,91.14,304.15,110.38,319.13,149.38
119.2,107.59,137.59,94.93,485.73,91.86,304.05,108.91,322.86,150.18
122.6,107.56,143.11,95.57,492.08,93.89,310.2,111.49,327.63,152.7
124.13,104.1,140.36,96.45,497.56,94.4,309.17,105.97,328.8,153.08
123.37,106.78,140.52,97.15,498.09,96.3,308.64,105.81,333.48,154.27
126,111.08,143.78,97.8,502.23,96.64,312.5,107.79,336.42,155.8
128.48,115.15,149.64,98.05,507.11,97.59,319.11,112.32,334.96,156.86
128.63,120.21,148.84,96.75,496.78,96,315.98,113.76,328.69,154.79
125.45,121.68,148.71,96.54,492.55,97.84,312.21,113.89,322.21,150.01
127.51,125.51,151.21,97.23,492.26,97.67,314.95,117.62,318.58,148.21
125.32,122.35,145.38,94.9,485.61,99.09,310.94,114.54,316.38,147.03
124.87,124.79,146.14,95.72,490.18,98.84,312.15,116.82,317.66,146.89
123.37,123,148.71,95.92,497.1,103.37,313.65,117.15,321.65,149.56
122.3,121.18,147.96,93.88,493.53,104.59,308.74,117.19,315.02,146.42
121.02,116.15,142.64,92.74,489.43,102.33,300.8,114.84,312.03,143.96
