WMT,AMZN,AAPL,CVS,UNH,XOM,BRK.B,GOOGL,MCK,ABC
148.69,102.41,166.17,76.09,494.19,116.13,310,104.36,363.77,162.28
147.23,103.95,165.63,76.25,493.25,115.02,309,104.72,362.99,162.97
149.67,101.1,163.76,77.75,509.23,116.99,310,104.47,373.17,167.36
150.8,102.06,164.66,77.54,512.81,115.05,313,108.42,370.09,166.35
150.51,102.17,162.03,76.04,515.18,114.54,313,106.44,370.77,166.38
150.07,99.92,160.8,76.29,520.97,115.35,314,105.35,366.17,166.55
149.34,97.83,160.1,74.92,521.19,115.23,315,104.64,362.56,165.42
149.49,102.4,165.56,75.42,526.23,115.77,318,107.43,364.32,167.38
148.48,102.51,165.21,74.7,511.79,116.05,320,108.87,362,167.13
149.52,102.74,165.23,75.8,505.35,114.7,324,105.97,363.28,167.38
149.85,102.3,166.47,76.14,504.48,116.94,325,104.5,360.26,167.41
150.01,104.3,167.63,74.21,486.2,116.57,323.09,104.18,355.55,164.48
150.97,103.81,166.65,73.25,487.46,115.64,323.82,105.29,359.27,165.96
151.73,106.96,165.02,72.84,483.82,116.01,324.33,105.41,359.86,166.73
152.76,106.21,165.33,73.44,488.94,118.2,326.05,105.97,361.92,167.71
151.57,102.57,163.77,72.87,491.92,116.52,324,103.85,363.29,168.09
150.91,104.98,163.76,72.26,482.95,115.45,321,103.71,359.24,165.49
151.38,109.82,168.41,73.06,490.47,116.83,326.23,107.59,363.81,167.41
150.97,105.45,169.68,73.31,492.09,118.34,328.55,107.34,364.24,166.85
